;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
131;204411;Filipe Barros;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
132;204412;Dr. Zacharias Calil;DEM;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
133;204415;Nereu Crispim;PSL;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
134;204418;Luizão Goulart;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
135;204420;Julian Lemos;PSL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
136;204422;Ossesio Silva;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
137;204423;André Ferreira;PSC;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
138;204425;Silvio Costa Filho;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
139;204426;Carlos Veras;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
140;204428;Marília Arraes;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
141;204434;Dra. Vanda Milani;SOLIDARIEDADE;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
142;204438;Sergio Toledo;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
143;204440;Christino Aureo;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
144;204441;Otoni de Paula;PSC;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
145;204442;Gurgel;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
146;204446;Professor Joziel;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
147;204449;Nelson Barbudo;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
148;204451;Delegado Antônio Furtado;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
149;204452;Márcio Labre;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.5;1.0;1
150;204455;Luiz Lima;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
151;204460;Carlos Jordy;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
152;204461;Paulo Ganime;NOVO;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0
153;204462;Chris Tonietto;PSL;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
154;204467;Professora Rosa Neide;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
155;204471;Mara Rocha;PSDB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
156;204472;José Medeiros;PODE;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1
157;204473;General Girão;PSL;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
158;204474;Juarez Costa;MDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
159;204476;Chiquinho Brazão;AVANTE;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1
160;204477;Felício Laterça;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
161;204480;Rogério Correia;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
