;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
165;204490;Charlles Evangelista;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
166;204497;Júnior Ferrari;PSD;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
167;204498;Olival Marques;DEM;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
168;204502;Bozzella;PSL;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
169;204503;Alexandre Padilha;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
170;204504;Cezinha de Madureira;PSD;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0
171;204507;Carla Zambelli;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
172;204512;Delegado Marcelo Freitas;PSL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
173;204513;Guiga Peixoto;PSL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
174;204515;André Janones;AVANTE;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2
175;204516;Alexis Fonteyne;NOVO;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;2
176;204519;Tiago Mitraud;NOVO;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;2
177;204520;Junio Amaral;PSL;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2
178;204521;Abou Anni;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
179;204522;Marco Bertaiolli;PSD;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
180;204523;Lucas Gonzalez;NOVO;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;2
181;204525;Rosana Valle;PSB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
182;204528;Adriana Ventura;NOVO;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;2
183;204530;Rodrigo Agostinho;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2
184;204532;Vinicius Poit;NOVO;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;2
185;204533;Idilvan Alencar;PDT;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;2
186;204539;Hercílio Coelho Diniz;MDB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
187;204540;Maria Rosas;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
188;204541;Eduardo Bismarck;PDT;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1
189;204545;Alê Silva;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
